health_region_code,name,uf,capacity,legacy_suicide_asmr,corrected_suicide_asmr,delta_suicide_asmr,legacy_suicide_percentile,corrected_suicide_percentile,delta_suicide_percentile,legacy_need,corrected_need,delta_need,legacy_mismatch,corrected_mismatch,delta_mismatch,legacy_lisa,corrected_lisa,legacy_radar_families,corrected_radar_families,flags
21017,Timon,MA,0.3158295281582953,8.575254436726002,8.625892836579057,0.05063839985305485,0.4885844748858447,0.4817351598173516,-0.0068493150684931225,0.4235159817351598,0.4200913242009132,-0.003424657534246589,0.1076864535768645,0.10426179604261793,-0.003424657534246575,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
21018,Viana,MA,0.4041095890410959,4.525313532891802,4.6220048770942,0.096691344202398,0.0662100456621004,0.0639269406392694,-0.0022831050228309946,0.2203196347031963,0.2191780821917808,-0.0011415525114154834,-0.1837899543378995,-0.18493150684931509,-0.0011415525114155944,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
21019,Zé Doca,MA,0.2191780821917808,7.032703114730093,7.158061721354719,0.1253586066246264,0.3036529680365297,0.3105022831050228,0.0068493150684931225,0.4200913242009132,0.4235159817351598,0.003424657534246589,0.2009132420091324,0.204337899543379,0.003424657534246589,not_significant,not_significant,CAPACITY_LOW;CAPACITY_COMPONENT_LOW,CAPACITY_LOW;CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
22001,Carnaubais,PI,0.3820395738203957,12.525159783383168,12.658798383706014,0.13363860032284514,0.8904109589041096,0.8881278538812786,-0.0022831050228310223,0.5536529680365296,0.5525114155251142,-0.0011415525114154557,0.1716133942161339,0.17047184170471846,-0.001141552511415428,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
22002,Chapada das Mangabeiras,PI,0.589041095890411,10.841100022075754,10.999679187233513,0.15857916515775905,0.7442922374429224,0.7511415525114156,0.006849315068493178,0.3892694063926941,0.3926940639269406,0.0034246575342465335,-0.1997716894977169,-0.19634703196347036,0.0034246575342465335,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,
22003,Cocais,PI,0.3432267884322679,10.549560974553335,10.61546278604999,0.06590181149665497,0.7146118721461188,0.7031963470319634,-0.011415525114155334,0.4360730593607306,0.43036529680365293,-0.005707762557077667,0.0928462709284627,0.08713850837138504,-0.005707762557077667,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
22004,Entre Rios,PI,0.5273972602739726,8.232406011149777,8.41981960774409,0.1874135965943129,0.4429223744292237,0.45662100456621,0.0136986301369863,0.5057077625570776,0.5125570776255708,0.006849315068493178,-0.0216894977168949,-0.014840182648401812,0.006849315068493088,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,
22005,Planície Litorânea,PI,0.4345509893455099,7.584919719886571,7.735422779745847,0.15050305985927626,0.365296803652968,0.3675799086757991,0.002283105022831078,0.6472602739726028,0.6484018264840182,0.0011415525114154557,0.2127092846270928,0.21385083713850833,0.001141552511415539,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
22006,Serra da Capivara,PI,0.4490106544901065,11.281081036963696,11.524071110221314,0.24299007325761757,0.7922374429223744,0.8082191780821918,0.01598173515981738,0.4589041095890411,0.46689497716894973,0.007990867579908634,0.0098934550989345,0.017884322678843212,0.007990867579908712,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,
22007,Tabuleiros do Alto Parnaíba,PI,0.3105022831050228,8.703883981134762,8.706929274675419,0.003045293540656857,0.502283105022831,0.4908675799086758,-0.011415525114155223,0.3721461187214612,0.3664383561643836,-0.005707762557077611,0.0616438356164383,0.05593607305936077,-0.005707762557077528,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
