origin_region,destination_region,admissions
22005,22005,7.0
22005,22004,
22004,22004,
22011,22004,
22008,22004,
22008,22012,
22008,22004,18.0
22002,22004,12.0
22002,22004,
22002,22004,
22004,22004,
22012,22012,
22012,22004,7.0
22004,22004,8.0
22006,22006,
22006,22004,
22009,22004,10.0
22003,22004,
22006,22006,
22010,22004,51.0
22011,22004,
22003,22004,38.0
22006,22004,8.0
22011,22004,5.0
22008,22004,
22011,22011,
22011,22004,10.0
22010,22004,6.0
22011,22004,5.0
22009,22004,7.0
22009,22004,10.0
22009,29002,
22009,22004,42.0
22002,22004,
22011,22004,
22006,22004,
22004,22004,8.0
22005,22005,51.0
22010,22004,18.0
22009,22009,
22009,22004,8.0
22008,22008,
22008,22004,17.0
22009,22004,
22011,22004,20.0
22012,22012,
22012,22012,
22012,22004,10.0
22004,22004,
22001,22004,
22011,22004,16.0
22003,22005,
22003,22004,31.0
22003,22004,5.0
22004,22004,103.0
22001,22004,9.0
22002,22004,
22004,22004,
22004,22004,14.0
22006,22012,6.0
22006,22004,
22003,22003,
22003,22003,
22003,22004,
22004,22004,7.0
22011,22004,25.0
22005,22005,5.0
22005,22005,56.0
22005,22004,47.0
22003,22003,
22003,22005,
22003,22004,6.0
22003,22003,
22003,22004,7.0
22011,22004,20.0
22011,53001,
22012,22004,5.0
22012,26007,
22011,22004,12.0
22012,22004,6.0
22003,22004,6.0
22004,22004,49.0
22004,26011,
22004,33003,
22003,22004,
22004,22004,15.0
22009,22004,9.0
22002,22004,6.0
22005,22005,
22011,22004,9.0
22004,22004,23.0
22001,22004,
22003,22004,
22010,22004,
22008,22008,
22008,22004,72.0
22012,22004,
22011,22004,10.0
22002,22004,
22004,22004,18.0
22009,22004,43.0
22002,22004,16.0
22005,21016,9.0
22005,22005,1922.0
22005,22004,159.0
22012,22012,7.0
22012,22004,7.0
22004,22004,
22012,22012,71.0
22012,22004,
22011,22004,
22003,22003,16.0
22003,22004,52.0
22006,22004,
22006,43008,
22009,22004,148.0
22009,33006,
22010,22004,
22009,22004,
22003,22005,
22003,22004,35.0
22003,35011,
22003,22003,
22003,22004,57.0
22003,43029,
22003,51014,
22003,22004,
22011,22004,
22012,22012,21.0
22004,22004,42.0
22007,22004,12.0
22011,22004,22.0
22009,22004,8.0
22010,22004,15.0
22002,22004,
22008,22008,
22009,22004,7.0
22004,22004,
22008,22004,6.0
22010,22004,10.0
22008,22012,
22008,22004,
22011,22004,38.0
22004,22004,19.0
22009,22004,
22003,22004,7.0
22001,22004,13.0
22008,22004,
22003,22004,15.0
22006,22006,
22006,22006,
22006,22004,21.0
22011,22004,
22009,22004,11.0
22009,22004,
22006,22004,
22006,26010,5.0
22009,22004,
22010,22004,
22011,22004,8.0
22001,22004,41.0
22004,22004,10.0
22006,22006,26.0
22006,22004,48.0
22007,22004,
22001,22004,7.0
22012,22004,9.0
22008,21016,36.0
22008,22004,10.0
22011,22004,
22009,22004,14.0
22004,15003,
22004,21016,
22004,22004,3030.0
22004,33005,
22004,35011,
22004,35041,
22004,35016,5.0
22004,22004,90.0
22004,22004,
22007,22004,51.0
22010,22004,25.0
22010,22004,
22009,22004,7.0
22009,22004,
23023,23023,20.0
23023,23001,6.0
23001,23001,33.0
23001,23001,26.0
23011,23011,50.0
23011,23011,
23011,23011,
23011,23001,67.0
23011,23011,18.0
23023,23023,70.0
23023,23001,35.0
23023,23023,
23023,23023,
23023,23025,
23023,35011,
23024,23024,5.0
23024,23001,17.0
23024,23024,11.0
23011,23011,30.0
23023,23023,
23023,23001,17.0
23025,23001,28.0
23025,23025,12.0
23001,23001,53.0
23023,23001,5.0
23001,23001,
23001,23001,13.0
23001,23025,
23001,23001,
23001,23001,282.0
23001,31016,
23025,23025,5.0
23025,23001,
23025,23001,134.0
23025,23025,
23025,23025,
23001,23001,
23001,23001,58.0
23001,23025,
23001,26010,
23011,23011,
23011,23011,5.0
23011,23001,9.0
23011,23011,
23023,23001,5.0
23023,23023,
23023,50015,
23001,23001,7.0
23001,23025,
23024,23001,27.0
23024,23024,11.0
23023,23023,
23023,23001,6.0
23023,23025,
23023,23023,9.0
23023,23023,9.0
23023,23001,9.0
23023,23023,
23023,33006,
23023,23001,5.0
23023,23023,10.0
23023,23011,
23024,23024,
23024,23001,23.0
23024,23025,
23023,23023,
23023,23001,47.0
23023,23025,
23023,26011,
23001,23001,42.0
23001,23001,
23023,23023,
23023,23023,
