health_region_code,band,person_years,deaths
17001,0,67531,0
17001,1,69763,0
17001,2,68820,1
17001,3,70781,6
17001,4,72652,13
17001,5,72230,12
17001,6,68418,5
17001,7,67566,12
17001,8,64393,7
17001,9,55173,5
17001,10,46480,9
17001,11,40399,5
17001,12,32355,6
17001,13,24851,1
17001,14,18931,2
17001,15,13141,0
17001,16,15142,3
17002,0,48240,0
17002,1,51239,0
17002,2,52415,0
17002,3,54151,7
17002,4,49346,5
17002,5,45365,3
17002,6,45011,9
17002,7,45749,5
17002,8,43550,2
17002,9,35892,4
17002,10,30336,0
17002,11,27568,1
17002,12,23724,0
17002,13,19216,1
17002,14,14745,1
17002,15,10341,2
17002,16,12128,0
17003,0,18995,0
17003,1,20475,0
17003,2,21369,0
17003,3,21433,1
17003,4,19621,3
17003,5,19489,2
17003,6,19035,2
17003,7,20297,8
17003,8,19917,3
17003,9,17753,8
17003,10,15624,3
17003,11,14000,3
17003,12,12027,1
17003,13,10046,2
17003,14,7359,1
17003,15,5303,0
17003,16,6564,2
17004,0,34183,0
17004,1,36033,0
17004,2,36225,4
17004,3,37219,5
17004,4,36193,7
17004,5,35490,7
17004,6,34375,11
17004,7,35229,1
17004,8,34784,5
17004,9,31426,4
17004,10,27465,3
17004,11,24062,0
17004,12,19616,2
17004,13,15338,2
17004,14,11936,3
17004,15,8205,1
17004,16,9310,4
17005,0,37232,0
17005,1,39360,0
17005,2,39209,0
17005,3,40335,5
17005,4,41299,7
17005,5,42187,8
17005,6,41343,5
17005,7,42462,7
17005,8,43009,12
17005,9,39232,5
17005,10,34024,4
17005,11,29837,2
17005,12,24718,2
17005,13,19524,2
17005,14,15165,2
17005,15,10377,2
17005,16,11426,3
17006,0,89781,0
17006,1,91724,0
17006,2,89119,0
17006,3,93422,14
17006,4,105815,18
17006,5,111129,15
17006,6,103069,17
17006,7,99620,17
17006,8,94000,7
17006,9,78183,12
17006,10,61858,7
17006,11,49526,7
17006,12,38471,2
17006,13,27897,3
17006,14,19458,4
17006,15,12787,1
17006,16,13780,2
17007,0,29604,0
17007,1,30796,0
17007,2,30069,1
17007,3,30302,6
17007,4,29675,6
17007,5,29614,12
17007,6,29287,3
17007,7,30052,3
17007,8,29612,5
17007,9,26334,2
17007,10,23275,2
17007,11,20643,2
17007,12,17038,4
17007,13,13006,0
17007,14,9726,1
17007,15,6504,1
17007,16,7364,0
17008,0,27839,0
17008,1,29553,0
17008,2,29539,1
17008,3,28399,6
17008,4,26027,1
17008,5,27300,8
17008,6,28386,2
17008,7,28807,2
17008,8,26984,2
17008,9,23436,4
17008,10,20489,6
17008,11,18260,5
17008,12,15127,1
17008,13,11878,2
17008,14,8915,0
17008,15,6208,2
17008,16,7649,2
21001,0,64536,0
21001,1,68092,0
21001,2,72100,2
21001,3,77757,3
21001,4,69553,15
21001,5,63199,3
21001,6,60936,9
21001,7,62962,7
21001,8,58718,3
21001,9,47129,2
21001,10,38346,5
21001,11,34081,5
21001,12,27874,2
21001,13,22008,5
21001,14,16816,3
21001,15,11518,2
21001,16,11315,1
21002,0,58437,0
21002,1,61761,0
21002,2,66808,0
21002,3,74566,9
21002,4,68826,10
21002,5,60687,9
21002,6,57390,6
21002,7,60332,9
21002,8,58254,6
21002,9,47579,4
21002,10,40068,0
21002,11,35619,4
21002,12,29702,2
21002,13,24029,2
21002,14,18853,1
21002,15,13054,1
21002,16,14308,2
21003,0,55881,0
21003,1,58435,0
21003,2,62010,1
21003,3,67490,4
21003,4,65656,16
21003,5,62680,5
21003,6,58537,13
21003,7,56137,6
21003,8,49688,5
21003,9,39873,5
21003,10,33048,4
21003,11,29278,3
21003,12,24055,1
21003,13,18843,1
21003,14,14421,1
21003,15,10304,1
21003,16,11053,0
21004,0,62907,0
21004,1,64652,0
21004,2,66979,0
21004,3,69207,8
21004,4,60959,9
21004,5,55229,9
21004,6,51160,5
21004,7,51145,3
21004,8,46072,3
21004,9,36816,3
21004,10,30442,3
21004,11,27127,1
21004,12,21974,0
21004,13,17222,0
21004,14,13865,0
21004,15,10522,2
21004,16,11575,1
21005,0,67169,0
21005,1,71228,0
21005,2,79770,1
21005,3,86649,11
21005,4,75794,13
21005,5,66718,4
21005,6,64399,5
21005,7,65449,9
21005,8,60959,5
21005,9,49722,11
21005,10,42429,3
21005,11,39736,7
21005,12,34227,6
21005,13,27835,4
21005,14,21763,3
21005,15,15217,2
21005,16,17429,0
21006,0,85419,0
21006,1,88612,0
21006,2,99304,1
21006,3,108631,2
21006,4,94501,3
21006,5,84434,8
21006,6,82259,3
21006,7,83257,4
21006,8,74262,6
21006,9,59801,3
21006,10,49687,1
21006,11,45092,1
21006,12,37463,0
21006,13,31063,2
21006,14,25255,3
21006,15,18140,0
21006,16,20984,1
21007,0,66590,0
21007,1,71906,0
21007,2,79963,2
21007,3,84502,1
21007,4,74091,5
21007,5,65922,6
21007,6,64462,6
21007,7,65315,6
21007,8,59726,4
21007,9,48559,6
21007,10,42226,2
21007,11,40357,2
21007,12,35345,2
21007,13,28114,5
21007,14,21845,2
21007,15,15479,0
21007,16,17289,1
21008,0,124049,0
21008,1,131240,0
21008,2,135763,4
21008,3,145230,12
21008,4,145252,18
21008,5,138390,11
21008,6,132635,14
21008,7,133399,8
21008,8,124149,2
21008,9,102380,16
21008,10,85629,4
21008,11,73993,14
21008,12,59569,7
21008,13,47248,7
21008,14,37021,4
21008,15,26175,2
21008,16,28185,4
21009,0,84817,0
21009,1,93078,1
21009,2,102339,1
21009,3,109568,5
21009,4,100246,6
21009,5,89838,9
21009,6,86761,4
21009,7,86398,8
21009,8,75622,7
21009,9,58789,0
21009,10,49379,2
21009,11,43721,1
21009,12,36873,1
21009,13,29500,3
21009,14,22676,1
21009,15,15457,1
21009,16,18104,0
21010,0,45565,0
21010,1,48076,0
21010,2,52376,0
21010,3,57600,0
21010,4,52216,2
21010,5,47835,2
21010,6,46695,6
21010,7,49198,3
21010,8,46791,8
21010,9,39002,1
