release_id,method_version,geography_version,health_region_code,health_region_name,uf,municipality_count,population,area_km2,population_density,suicide_asmr,suicide_percentile,psychiatric_admission_rate,psychiatric_admission_percentile,caps_count,caps_rate,caps_percentile,mental_health_beds_sus_count,mental_health_beds_sus_rate,beds_percentile,psychiatrist_fte,psychiatrist_fte_rate,psychiatrist_fte_percentile,need_score,capacity_score,mismatch_score,lisa_local_i,lisa_p,lisa_q,lisa_significant,lisa_cluster,data_quality_flags
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,13001,"Manaus, Entorno e Alto Rio Negro",AM,12,2637590,371916.38863051299,7.0918896844321671,6.1902001105510962,0.20776255707762556,17.413602551373639,0.066210045662100397,17,0.6445277696685231,0.020547945205479399,0,0,0.31278538812785389,36.399999999999999,1.3800476950549554,0.11415525114155251,0.13698630136986298,0.14916286149162861,-0.012176560121765628,0.005002627670128784,0.40820000000000001,0.44912230576441103,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,13002,Rio Negro e Solimões,AM,8,290125,159074.26624703797,1.8238336523233989,4.8956893981072609,0.089041095890410954,31.871258591382752,0.14611872146118721,4,1.3787160706591983,0.2351598173515981,0,0,0.31278538812785389,3.0499999999999998,1.0512710038776387,0.082191780821917804,0.11757990867579908,0.21004566210045661,-0.092465753424657529,0.15356706816430113,0.1835,0.29484836363636369,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,13003,Rio Madeira,AM,5,201671,222565.76953983225,0.90611867412031322,5.5286989032105209,0.14155251141552511,9.3478692700482604,0.027397260273972601,5,2.479285569070417,0.65981735159817356,0,0,0.31278538812785389,4.125,2.0454105944830938,0.23972602739726021,0.084474885844748854,0.4041095890410959,-0.31963470319634701,-0.85084479100439525,0.026700000000000002,0.091203100775193793,True,low-high,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,13004,Médio Amazonas,AM,6,193073,58596.361194065263,3.2949656952342421,4.6985101539944889,0.073059360730593603,7.3482327500236195,0.015981735159817299,1,0.5179388107089028,0.013698630136986301,0,0,0.31278538812785389,1.75,0.90639291874058003,0.066210045662100397,0.044520547945205449,0.13089802130898021,-0.086377473363774757,-0.11371025772480373,0.29509999999999997,0.38215014749262527,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,13005,Baixo Amazonas,AM,5,247981,68548.598040649871,3.6175940440524439,11.82572647589765,0.83789954337899542,57.582196558044473,0.32191780821917809,3,1.2097701033546926,0.1575342465753424,0,0,0.31278538812785389,2.25,0.90732757751601945,0.068493150684931503,0.57990867579908678,0.17960426179604261,0.40030441400304417,-0.44321688809010945,0.2555,0.35161285266457681,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,13006,Regional Purus,AM,5,145791,255854.59753131983,0.56981973904984584,4.9578503158069305,0.10273972602739725,11.783434339700239,0.045662100456621002,2,1.3718267931490971,0.2214611872146118,0,0,0.31278538812785389,0,0,0.0068493150684931,0.074200913242009128,0.1803652968036529,-0.10616438356164377,-0.19069686361035035,0.12740000000000001,0.23401087866108788,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,13007,Regional Juruá,AM,6,135866,96512.578237450376,1.4077543308990068,13.070066127187646,0.90410958904109584,18.501889659663902,0.070776255707762498,2,1.4720386262935541,0.27397260273972601,0,0,0.31278538812785389,1,0.73601931314677693,0.047945205479451997,0.48744292237442916,0.21156773211567731,0.27587519025875185,0.74272786412578939,0.099400000000000002,0.20764075829383885,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,13008,Triângulo,AM,6,147618,135316.57936959065,1.0909084510391771,8.4751186647567405,0.46575342465753422,4.7840240932565763,0.0022831050228309998,1,0.67742416236502323,0.027397260273972601,0,0,0.31278538812785389,0.5,0.33871208118251162,0.022831050228310501,0.23401826484018262,0.1210045662100456,0.11301369863013702,0.17439199866777158,0.2077,0.31770139372822298,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,13009,Alto Solimões,AM,9,281494,221419.05941389943,1.2713178384242083,18.415559854354282,0.99315068493150682,2.155562128689454,0,1,0.35524735873588781,0.0091324200913242004,0,0,0.31278538812785389,0.5,0.1776236793679439,0.015981735159817299,0.49657534246575341,0.11263318112633181,0.38394216133942161,1.3740456674503665,0.066600000000000006,0.16612159090909093,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,14001,Centro Norte,RR,9,617613,111813.14262259264,5.5236172198884868,9.6234824147766087,0.60502283105022836,30.047557646434459,0.13698630136986301,9,1.4572232125942943,0.26712328767123289,11,1.7810505931708045,0.73972602739726023,20.899999999999999,3.383996127024528,0.60730593607305938,0.37100456621004568,0.53805175038051756,-0.16704718417047187,0.45437659596962759,0.24560000000000001,0.3455717948717949,False,not_significant,
