origin_region,destination_region,admissions,flow_version,contribution_id
17006,17006,7,MDB_HOSPITAL_FLOW_METHOD_1.0,838
17004,17001,6,MDB_HOSPITAL_FLOW_METHOD_1.0,845
17005,17005,6,MDB_HOSPITAL_FLOW_METHOD_1.0,846
17007,17007,101,MDB_HOSPITAL_FLOW_METHOD_1.0,849
17007,17006,20,MDB_HOSPITAL_FLOW_METHOD_1.0,850
17001,17001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,853
17004,17006,7,MDB_HOSPITAL_FLOW_METHOD_1.0,856
17001,17001,6,MDB_HOSPITAL_FLOW_METHOD_1.0,867
17007,17007,6,MDB_HOSPITAL_FLOW_METHOD_1.0,868
17007,17007,34,MDB_HOSPITAL_FLOW_METHOD_1.0,869
17008,17008,8,MDB_HOSPITAL_FLOW_METHOD_1.0,872
17008,17008,103,MDB_HOSPITAL_FLOW_METHOD_1.0,879
17008,17006,71,MDB_HOSPITAL_FLOW_METHOD_1.0,880
17002,17001,16,MDB_HOSPITAL_FLOW_METHOD_1.0,889
17006,17006,11,MDB_HOSPITAL_FLOW_METHOD_1.0,893
17001,17001,13,MDB_HOSPITAL_FLOW_METHOD_1.0,896
17008,17008,11,MDB_HOSPITAL_FLOW_METHOD_1.0,899
17006,17006,13,MDB_HOSPITAL_FLOW_METHOD_1.0,900
17005,17005,13,MDB_HOSPITAL_FLOW_METHOD_1.0,906
17008,17008,9,MDB_HOSPITAL_FLOW_METHOD_1.0,907
17006,17001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,917
17006,17005,5,MDB_HOSPITAL_FLOW_METHOD_1.0,918
17006,17006,1038,MDB_HOSPITAL_FLOW_METHOD_1.0,921
17006,52001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,927
17006,17006,8,MDB_HOSPITAL_FLOW_METHOD_1.0,931
17002,17001,15,MDB_HOSPITAL_FLOW_METHOD_1.0,932
17002,17002,43,MDB_HOSPITAL_FLOW_METHOD_1.0,933
17004,17001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,936
17001,17001,25,MDB_HOSPITAL_FLOW_METHOD_1.0,938
17001,17001,9,MDB_HOSPITAL_FLOW_METHOD_1.0,940
21001,21001,18,MDB_HOSPITAL_FLOW_METHOD_1.0,943
