financing_version,siops_snapshot_id,year,health_region_code,municipalities_expected,municipalities_observed,population_expected,population_covered,coverage_share,coverage_population_share,total_health_expenditure_brl,health_expenditure_per_capita_brl,headline_available,quality_flags,source_period,source_indicator
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29015,26,26,510425,510425,1,1,593176533.72000003,1162.1199999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29016,10,10,587921,587921,1,1,659059231.99000001,1121,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29017,9,9,251835,251835,1,1,318763431.75999999,1265.76,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29018,8,8,418017,418017,1,1,474450252.30000001,1135,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29019,16,16,364231,364231,1,1,418383383.97000003,1148.6800000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29020,10,10,3100614,3100614,1,1,3791136313.6900001,1222.71,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29021,12,12,306729,306729,1,1,448731420.02999997,1462.96,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29022,23,23,482059,482059,1,1,531182616.68000001,1101.9000000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29023,11,11,194644,194644,1,1,212593756.34,1092.22,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29024,9,9,306390,306390,1,1,375171089.99000001,1224.49,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29025,18,18,598565,598565,1,1,621277459.65999997,1037.9400000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29026,13,13,451460,451460,1,1,556602114,1232.8900000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29027,11,11,284603,284603,1,1,297661292.39999998,1045.8800000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,29028,19,19,722768,722768,1,1,748084433.55999994,1035.03,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31001,16,16,299795,299795,1,1,634872024.38999999,2117.6900000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31002,8,8,145365,145365,1,1,238443378.22,1640.3099999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31003,15,15,207172,207172,1,1,359659017.22000003,1736.04,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31004,10,10,192850,192850,1,1,335357124.83999997,1738.95,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31006,6,6,243453,243453,1,1,546576763.78999996,2245.0999999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31007,32,32,601775,601775,1,1,1189493366.8499999,1976.6400000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31008,24,24,264336,264336,1,1,456860316.11000001,1728.3299999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31009,6,6,130172,130172,1,1,318028665.81,2443.1399999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31010,5,5,114339,114339,1,1,187293903.72,1638.0599999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31011,5,5,127567,127567,1,1,225332825.88,1766.3900000000001,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31012,6,6,222756,222756,1,1,555845572.91999996,2495.3099999999999,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
MDB_FINANCING_CONTEXT_1.0,MDB_SIOPS_SNAPSHOT_20260831_1,2024,31013,15,15,228489,228489,1,1,587617644.42999995,2571.75,True,,2,grupo=17 Total; Indicator 2.1 validated in stratified sample
