release_id,geography_version,intelligence_version,radar_ruleset_version,decomposition_version,peer_method_version,health_region_code,health_region_name,uf,need_high,capacity_low,mismatch_marked_positive,capacity_component_low,spatial_hh_mismatch,zero_registered_beds,small_suicide_count,matched_signal_families,suicide_contribution,admissions_contribution,caps_contribution,beds_contribution,psychiatrist_contribution,decomposition_sum
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31096,Itambacuri,MG,False,False,False,False,False,False,True,0,-0.2226027397260274,-0.03538812785388129,-0.050228310502283116,-0.13850837138508371,0.038051750380517502,-0.408675799086758
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31097,Juiz de Fora,MG,False,False,False,True,False,False,False,1,-0.046803652968036541,0.10844748858447489,0.11719939117199392,-0.12404870624048706,-0.090563165905631654,-0.035768645357686424
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31098,Salinas,MG,True,False,False,False,False,False,False,1,0.087899543378995415,0.19863013698630139,-0.14535768645357686,-0.13546423135464231,0.082191780821917804,0.087899543378995443
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31099,Teófilo Otoni/Malacacheta,MG,False,False,False,False,False,False,False,0,-0.02397260273972604,0.0057077625570776114,-0.065449010654490117,-0.12176560121765601,-0.073820395738203939,-0.27929984779299849
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31100,São Francisco,MG,False,False,False,True,False,True,False,1,-0.15981735159817351,-0.073059360730593603,0.008371385083713859,0.062404870624048703,0.14840182648401826,-0.013698630136986301
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31101,Brasília de Minas,MG,False,False,False,False,False,True,False,0,0.05707762557077628,-0.055936073059360741,-0.13242009132420091,0.062404870624048703,0.034246575342465758,-0.034627092846270906
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31102,Peçanha/São João Evangelista/Santa Maria do,MG,False,False,False,False,False,True,False,0,-0.23401826484018265,-0.19863013698630139,-0.15601217656012173,0.062404870624048703,-0.092846270928462718,-0.61910197869101968
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,32001,Central,ES,False,False,False,True,False,True,False,1,-0.078767123287671242,-0.10730593607305935,0.12100456621004566,0.062404870624048703,0.032724505327245058,0.030060882800608819
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,32002,Metropolitana,ES,False,False,False,True,False,False,False,1,-0.15068493150684931,-0.11415525114155251,0.14231354642313546,-0.049467275494672738,0.043378995433789959,-0.12861491628614916
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,32003,Norte,ES,False,False,False,True,False,False,False,1,-0.12100456621004566,-0.013698630136986301,0.087519025875190254,-0.081430745814307454,0.048706240487062402,-0.079908675799086754
