health_region_code,delta_need_score,delta_capacity_score,delta_mismatch_score,delta_suicide_percentile,delta_psychiatric_admission_percentile,delta_caps_percentile,delta_beds_percentile,delta_psychiatrist_fte_percentile,NEED_POSITION_UP,CAPACITY_POSITION_DOWN,MISMATCH_POSITION_UP,NEED_COMPONENT_POSITION_UP,CAPACITY_COMPONENT_POSITION_DOWN,matched_change_families,from_year,to_year,change_version
32001,0.042237442922374413,0.039573820395738146,0.0026636225266362668,0.084474885844748826,0,-0.015981735159817351,-0.0045662100456621002,0.13926940639269403,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
32002,-0.03082191780821919,-0.0022831050228310779,-0.028538812785388112,-0.011415525114155251,-0.050228310502283102,0.013698630136986301,-0.0091324200913242004,-0.011415525114155278,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
32003,0.077625570776255703,-0.00076103500761032228,0.078386605783866026,0.16894977168949774,-0.013698630136986301,-0.018264840182648401,-0.011415525114155223,0.027397260273972601,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
32004,0.070776255707762525,-0.015981735159817323,0.086757990867579848,0.15981735159817351,-0.018264840182648401,-0.022831050228310501,-0.0045662100456621002,-0.020547945205479423,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
33001,-0.010273972602739656,-0.036529680365296802,0.026255707762557146,-0.031963470319634701,0.011415525114155334,-0.020547945205479423,-0.0091324200913242004,-0.079908675799086781,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
33002,-2.7755575615628914e-17,-0.0083713850837138226,0.0083713850837137671,-0.034246575342465752,0.034246575342465724,-0.041095890410958902,-0.0068493150684931781,0.022831050228310557,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
33003,-0.055936073059360714,0.0083713850837137116,-0.06430745814307437,-0.036529680365296802,-0.075342465753424626,0.0068493150684931781,0,0.018264840182648401,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
33004,0.0091324200913242004,-0.0045662100456619337,0.013698630136986134,0.0068493150684931503,0.011415525114155223,-0.022831050228310557,0,0.0091324200913242004,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
33005,-0.045662100456621002,-0.0030441400304413446,-0.042617960426179657,-0.025114155251141551,-0.066210045662100425,0.0091324200913242004,-0.0068493150684931781,-0.011415525114155223,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
33006,-0.041095890410958957,-0.0083713850837138226,-0.032724505327245135,-0.022831050228310501,-0.059360730593607358,-0.0022831050228310501,-0.0068493150684931781,-0.015981735159817378,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
33007,-0.087899543378995415,-0.028158295281582979,-0.059741248097412436,-0.16438356164383564,-0.011415525114155223,-0.011415525114155223,-0.0068493150684931781,-0.066210045662100425,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
33008,-0.10730593607305933,-0.015220700152207001,-0.092085235920852326,0.0022831050228310779,-0.21689497716894973,0.018264840182648401,-0.0091324200913242004,-0.054794520547945202,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
33009,-0.060502283105022814,0.0076103500761035558,-0.06811263318112637,-0.06164383561643838,-0.059360730593607247,-0.029680365296803624,-0.0068493150684931781,0.059360730593607247,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35011,-0.026255707762557035,0.0106544901065449,-0.036910197869101935,-0.018264840182648401,-0.034246575342465668,0.0022831050228310501,-0.0068493150684931781,0.036529680365296802,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35012,-0.019406392694063856,-0.0015220700152207556,-0.017884322678843101,-0.029680365296803651,-0.0091324200913242004,-0.029680365296803624,-0.0045662100456621002,0.029680365296803735,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35013,0,-0.018264840182648512,0.018264840182648512,-0.0022831050228310501,0.0022831050228310223,0.0091324200913242004,-0.0045662100456621002,-0.059360730593607358,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35014,-0.017123287671232834,-0.0022831050228310779,-0.014840182648401756,-0.022831050228310501,-0.011415525114155223,0.0022831050228310501,-0.0045662100456621002,-0.0045662100456621557,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35015,0.015981735159817378,0.023592085235920823,-0.0076103500761034448,0.015981735159817351,0.015981735159817378,0.0045662100456621002,-0.0068493150684931781,0.073059360730593603,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35016,-0.012557077625570789,-0.0045662100456621557,-0.0079908675799086337,0,-0.025114155251141579,-0.0045662100456621002,-0.0091324200913242004,0,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35021,-0.053652968036529747,0.048706240487062402,-0.10235920852359215,-0.18264840182648406,0.075342465753424626,-0.018264840182648401,-0.0045662100456621002,0.16894977168949771,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35022,-0.039954337899543391,-0.0060882800608828003,-0.03386605783866059,-0.063926940639269403,-0.015981735159817378,-0.020547945205479534,-0.0045662100456621002,0.0068493150684931781,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35023,0.0045662100456620447,-0.031202435312024324,0.035768645357686368,0.0091324200913242004,0,-0.018264840182648401,-0.0045662100456621002,-0.070776255707762525,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35031,0.012557077625570789,0.00076103500761037779,0.011796042617960412,0.075342465753424626,-0.050228310502283158,-0.0022831050228310501,-0.0045662100456621002,0.0091324200913242004,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
35032,-0.099315068493150749,-0.019025875190258779,-0.08028919330289197,-0.18264840182648401,-0.015981735159817378,-0.015981735159817351,-0.0091324200913242004,-0.031963470319634701,False,False,False,False,False,0,2023,2024,MDB_CHANGE_RADAR_RULESET_1.0
