flow_version,health_region_code,total_admissions,within_region_share,outflow_share,cross_state_outflow_share,nonsuppressed_destinations,unit
MDB_HOSPITAL_FLOW_METHOD_1.0,26009,893,0.15005599104143338,0.84994400895856659,0.70436730123180291,6,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26010,9534,0.99202852947346343,0.0079714705265366056,0.0065030417453324938,6,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26011,878,0.57972665148063784,0.42027334851936221,0.026195899772209569,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26012,1718,0.96100116414435388,0.038998835855646098,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27001,10005,0.99810094952523742,0.0018990504747626188,0.00099950024987506244,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27002,506,0.01383399209486166,0.98616600790513831,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27003,940,0.22234042553191488,0.77765957446808509,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27004,665,0.33082706766917291,0.66917293233082709,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27005,1368,0.56725146198830412,0.43274853801169588,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27006,569,0.045694200351493852,0.95430579964850615,0.0087873462214411256,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27007,2227,0.88100583744948358,0.11899416255051638,0.0035922766052986078,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27008,758,,,0.011873350923482849,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27009,488,0.012295081967213115,0.98770491803278693,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,27010,222,,,0.036036036036036036,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,28001,1871,0.9887760555852485,0.011223944414751471,0.0069481560662747197,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,28002,484,0.057851239669421489,0.94214876033057848,0.012396694214876033,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,28003,307,0.11074918566775244,0.88925081433224751,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,28004,442,0.027149321266968326,0.97285067873303166,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,28005,269,,,,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,28006,852,0.0070422535211267607,0.99295774647887325,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,28007,328,,,,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29001,320,0.19062499999999999,0.80937499999999996,0.09375,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29002,275,0.82181818181818178,0.17818181818181819,0.090909090909090912,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29003,179,0.46368715083798884,0.53631284916201116,0.033519553072625698,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29004,696,0.13793103448275862,0.86206896551724133,0.012931034482758621,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29005,153,,,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29006,1811,0.93208172280508006,0.06791827719491994,0.0099392600773053567,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29007,149,0.26174496644295303,0.73825503355704702,,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29008,39,0.35897435897435898,0.64102564102564108,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29009,453,0.83443708609271527,0.16556291390728478,,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29010,100,0.080000000000000002,0.92000000000000004,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29011,1289,0.92707525213343678,0.072924747866563222,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29012,162,0.5679012345679012,0.43209876543209874,0.049382716049382713,6,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29013,95,0.21052631578947367,0.78947368421052633,,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29014,297,0.55892255892255893,0.44107744107744107,,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29015,696,0.92241379310344829,0.077586206896551727,0.010057471264367816,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29016,1715,0.97784256559766769,0.022157434402332362,0.014577259475218658,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29017,610,0.26393442622950819,0.73606557377049175,0.016393442622950821,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29018,84,0.61904761904761907,0.38095238095238093,0.14285714285714285,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29019,124,0.19354838709677419,0.80645161290322576,0.12096774193548387,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29020,8185,0.97910812461820407,0.020891875381795967,0.0085522296884544893,6,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29021,139,0.76978417266187049,0.23021582733812951,,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29022,868,0.84792626728110598,0.15207373271889402,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29023,170,0.73529411764705888,0.26470588235294118,0,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29024,582,,,0.017182130584192441,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29025,452,0.60176991150442483,0.39823008849557523,0.017699115044247787,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29026,78,0.29487179487179488,0.70512820512820518,0.11538461538461539,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29027,173,0.14450867052023122,0.8554913294797688,,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,29028,1023,0.9540566959921799,0.045943304007820138,0.015640273704789834,4,AIHs/admissions; not unique patients
