release_id,peer_method_version,health_region_code,peer_health_region_code,peer_rank,structural_distance
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,51008,2,0.27354739315995502
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,51001,3,0.27806935976111458
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,14002,4,0.38607722890269214
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,13006,5,0.43608112286818962
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,51006,6,0.49736072930417558
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,13003,7,0.55022922791324391
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,51003,8,0.55121095898378525
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,13004,9,0.56237816227964221
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,51015,10,0.57704811199494033
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,13007,1,0.13512570542362687
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,51008,2,0.27056207374796826
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,13006,3,0.36485039909765488
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,51001,4,0.41318270300657622
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,14002,5,0.43892901375260196
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,13003,6,0.45843869460142395
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,51006,7,0.52875523283689363
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,13004,8,0.59080338703648416
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,15010,9,0.65718344613949953
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13008,51003,10,0.66634141258326185
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,13002,1,0.260339324708179
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,15012,2,0.39996552182651274
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,12003,3,0.60535282841433891
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,15010,4,0.70146711089332603
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,50009,5,0.73978528585265002
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,51007,6,0.77096484656269137
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,52016,7,0.82923271955973399
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,51008,8,0.83980327046396075
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,15013,9,0.87025847203692286
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13009,51005,10,0.87252876342759655
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,29016,1,0.38276455005820803
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,12002,2,0.43475186369208996
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,43003,3,0.65085569686630063
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,15014,4,0.76416012496692709
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,16001,5,0.77386598231123926
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,15012,6,0.7963474279453101
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,51014,7,0.811768681552402
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,29021,8,0.91884839437441768
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,51007,9,0.93001419465448676
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14001,29002,10,0.95030441179097269
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,13007,1,0.38607722890269214
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,51001,2,0.42150324212812856
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,13008,3,0.43892901375260196
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,51003,4,0.48405195727960254
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,51004,5,0.49269986162791174
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,51008,6,0.51225591366193923
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,16002,7,0.51933764392269699
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,13006,8,0.53082193512008624
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,51010,9,0.57023126596261742
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,14002,51006,10,0.58987901552147903
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,29002,1,0.52039761609571455
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,51014,2,0.60869251975517047
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,15002,3,0.65216422818848896
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,51013,4,0.71943109630940061
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,29021,5,0.77483921723910221
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,11003,6,0.79765345637317553
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,50009,7,0.81209530211970704
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,21003,8,0.82391475712570039
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,12002,9,0.85551169493239854
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15001,31058,10,0.8798378182864427
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,15001,1,0.65216422818848896
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,51014,2,0.71075856011574234
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,29002,3,0.78497479928815683
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,51013,4,0.86251617193577401
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,12002,5,0.90236028757763487
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,14001,6,0.96378694120498976
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,29016,7,1.0441317957104037
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,15003,8,1.1259031474106835
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,15012,9,1.1686935506250791
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15002,43003,10,1.174325500392754
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,15008,1,0.51656156322095559
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,43021,2,0.56040997775468937
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,23024,3,0.61582179800442094
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,29028,4,0.67016756845944825
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,21008,5,0.67477755769188996
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,29025,6,0.79190314337283285
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,51002,7,0.8052066399304294
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,51013,8,0.80570300222167357
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,51014,9,0.85838818075407763
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15003,15009,10,0.86275711608390726
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,21004,1,0.34656731299233801
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,50013,2,0.48616888179496781
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,11002,3,0.5380218536749255
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,43022,4,0.54547901294141543
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,13005,5,0.55647714905552104
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,15014,6,0.70002063841995366
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,16003,7,0.71821300380045383
